[2026-03-03 02:55:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:23:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:24:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:25:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:26:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:14] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:27:53] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:28:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:29:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:30:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:31:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:32:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:53] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:33:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:34:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:35:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:36:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:37:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:53] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:38:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:39:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:40:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:41:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:42:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:43:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:14] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:44:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:45:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:46:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:47:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:48:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:39] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:49:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:12] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:50:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:43] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:51:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:10] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:36] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:42] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:49] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:52:55] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:02] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:53:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:54:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:25] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:55:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:18] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:56:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:57:57] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:16] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:58:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:07] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:20] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:27] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:33] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:47] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 04:59:53] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:00] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:06] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:13] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:19] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:26] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:32] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:38] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:45] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:51] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:00:58] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:04] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:23] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:30] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:50] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:01:56] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:03] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:09] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:22] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:29] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:35] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:41] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:48] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:02:54] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:01] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:08] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:15] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:21] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:28] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:34] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:40] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:46] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:52] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:03:59] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:05] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:11] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:17] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:24] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:31] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:37] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:44] Altruists (Green): 19 | Selfish (Red): 17
[2026-03-03 05:04:50] Altruists (Green): 19 | Selfish (Red): 17
